id,Influence Page Rank,Cosine similarity,Overall Average Page Rank of Successors,Average Influence Page Rank Successors,Frienship indegree,Influence Ratio
1,0.0392945273604269,0.1412023,0.04298116805683965,0.05502707257422974,3,0.013098175786808967
2,0.0221203449809919,0.0,0.02601942938242824,0.03594140601298962,7,0.0031600492829988425
3,0.00274632508752181,0.40479640000000006,0.026268656567009763,0.031535364213858524,3,0.0009154416958406034
4,0.00347233896157375,0.1666667,0.013401792971031154,0.021424931795709038,2,0.001736169480786875
5,0.0115067181625136,1.0,0.01378945676123946,0.014411834015038108,5,0.0023013436325027203
6,0.0193150159093366,0.3547068,0.02453003520019066,0.0222980229860486,6,0.0032191693182227667
7,0.0515542898747396,0.1666667,0.04056046781531528,0.04658479347033125,8,0.00644428623434245
8,0.0088070251547955,0.18257420000000002,0.03700513277204339,0.0421435906407661,1,0.0088070251547955
9,0.005287351759987629,0.0860663,0.04058787361108691,0.05749223929313415,5,0.0010574703519975258
10,0.0105965911962002,0.46703900000000004,0.03532502608711583,0.035823893629477375,4,0.00264914779905005
11,0.011567457329748999,1.0,0.013400423893396856,0.01444881523093059,4,0.0028918643324372497
12,0.0180184868736659,0.4550495,0.014329194177920975,0.01994337035548794,7,0.002574069553380843
13,0.00462655900131139,0.0,0.01823316750137181,0.01149290274876095,6,0.0007710931668852317
14,0.0173876532368337,,0.0,0.0,10,0.0017387653236833702
15,0.0162531662573507,0.0,0.018844773300413845,0.029297344161172374,2,0.00812658312867535
16,0.00603118293519683,0.18257420000000002,0.01486358344258859,0.010629422789339682,5,0.001206236587039366
17,0.0226946857452835,0.5227811,0.04136715169568784,0.0418885161034308,12,0.0018912238121069583
18,0.00645700225284071,0.0,0.018313645539692263,0.021941249646414362,6,0.0010761670421401183
19,0.0554536630496042,0.5155978,0.04021642704560966,0.045487059300770974,10,0.00554536630496042
20,0.0450294018495082,0.38888890000000004,0.0323718511868763,0.019839770920662882,7,0.0064327716927868855
21,0.0773698428482406,0.4550495,0.03896896995966533,0.03151279949422269,10,0.00773698428482406
22,0.0378880426910945,0.46666670000000005,0.03486975828783776,0.034846217582700637,8,0.004736005336386812
23,0.0179577762449594,0.27777779999999996,0.03607837313525195,0.04057098034914123,3,0.0059859254149864675
24,0.0178864616121762,0.3846345,0.041329691914814636,0.042906537771973396,4,0.00447161540304405
25,0.0289016534586237,0.5714630999999999,0.0369818797278445,0.03500047311265306,8,0.0036127066823279626
26,0.00498186433710691,0.1666667,0.020571056366873106,0.028439077127482237,5,0.000996372867421382
