"","x"
"creat_01",0.0181357836767538
"creat_02",0.00474883983935298
"creat_03",0.0043415588169557
"creat_04",0.00387944444607953
"creat_05",0.00468770671253006
"creat_06",0.0208712153445756
"creat_07",0.0675098806432472
"creat_08",0.0092326658913999
"creat_09",0.00535720528884744
"creat_10",0.00529165694291426
"creat_11",0.00468770671253006
"creat_12",0.00727637745029524
"creat_13",0.0074547507941665
"creat_14",0.0184341681154781
"creat_15",0.00810170365164986
"creat_16",0.00677436216278457
"creat_17",0.00621932519665672
"creat_18",0.00657819841829561
"creat_19",0.0497401011160834
"creat_20",0.0357596879813368
"creat_21",0.0503355780873201
"creat_22",0.0185616629254061
"creat_23",0.00408933428351946
"creat_24",0.028596283560163
"creat_25",0.0322437849725068
"creat_26",0.0078390957146826
"creat_27",0.00331073867816387
"creat_28",0.0260540450042346
"creat_29",0.0193398376516486
"creat_30",0.0226454695434849
"creat_31",0.00374064371662837
"creat_32",0.00415296954539028
"creat_33",0.0535607041318787
"creat_34",0.00498331623464945
"creat_35",0.0493393900521499
"creat_36",0.00607718319408087
"creat_37",0.00551756357907652
"creat_38",0.0208537154587604
"creat_39",0.0144673514604649
"creat_40",0.00749906807629443
"creat_41",0.00982460350885417
"creat_42",0.00928254931754044
"creat_43",0.00691406824700541
"creat_44",0.00498499534671805
"creat_45",0.0146619508423474
"creat_46",0.0329852319649193
"creat_47",0.00387944444607953
"creat_48",0.0290059176695826
"creat_49",0.0179336045505956
"creat_50",0.0440512972513483
"creat_51",0.0191210653829115
"creat_52",0.0129809479020667
"creat_53",0.00765214874935822
"creat_54",0.00744422711926732
"creat_55",0.00742626007815117
"creat_56",0.0143418648980005
"creat_57",0.019527843641767
"creat_58",0.0190983264168128
"creat_59",0.0269599996026153
"creat_60",0.0136335779916216
