"","x"
"infl_01",0.0392945273604269
"infl_02",0.0221203449809919
"infl_03",0.00274632508752181
"infl_04",0.00347233896157375
"infl_05",0.0115067181625136
"infl_06",0.0193150159093366
"infl_07",0.0515542898747396
"infl_08",0.0088070251547955
"infl_09",0.00528735175998763
"infl_10",0.0105965911962002
"infl_11",0.011567457329749
"infl_12",0.0180184868736659
"infl_13",0.00462655900131139
"infl_14",0.0173876532368337
"infl_15",0.0162531662573507
"infl_16",0.00603118293519683
"infl_17",0.0226946857452835
"infl_18",0.00645700225284071
"infl_19",0.0554536630496042
"infl_20",0.0450294018495082
"infl_21",0.0773698428482406
"infl_22",0.0378880426910945
"infl_23",0.0179577762449594
"infl_24",0.0178864616121762
"infl_25",0.0289016534586237
"infl_26",0.00498186433710691
"infl_27",0.00341653587789149
"infl_28",0.01753110832173
"infl_29",0.0214337136766729
"infl_30",0.0461547557244306
"infl_31",0.00745683826118623
"infl_32",0.00439256154693459
"infl_33",0.0250390100139722
"infl_34",0.0332506812258665
"infl_35",0.00973103739229654
"infl_36",0.00274632508752181
"infl_37",0.0127986388286081
"infl_38",0.0273958243033219
"infl_39",0.0062203937366448
"infl_40",0.00364549301983854
"infl_41",0.0111826562825203
"infl_42",0.00341653587789149
"infl_43",0.00473089969672715
"infl_44",0.00360074267000803
"infl_45",0.0188317066314235
"infl_46",0.00412488871809715
"infl_47",0.00274632508752181
"infl_48",0.00436172547694689
"infl_49",0.00414254975194343
"infl_50",0.0223721398345381
"infl_51",0.0231817818235792
"infl_52",0.0376146357380277
"infl_53",0.00574855647260655
"infl_54",0.00941349198226325
"infl_55",0.00390054512725945
"infl_56",0.0304336521127765
"infl_57",0.0116892158250881
"infl_58",0.006312884331404
"infl_59",0.00464133356257428
"infl_60",0.00313538780825407
