param: id:	create_pr	imp_pr	inf_pr	friendship_indegree :=
1	0.0181357836767538	0.0407595813907063	0.0392945273604269	3
2	0.00474883983935298	0.0214651756352074	0.0221203449809919	7
3	0.0043415588169557	0.00283246005789723	0.00274632508752181	3
4	0.00387944444607953	0.00323372523276601	0.00347233896157375	2
5	0.00468770671253006	0.00959972343129138	0.0115067181625136	5
6	0.0208712153445756	0.0166328609586563	0.0193150159093366	6
7	0.0675098806432472	0.0428708641391581	0.0515542898747396	8
8	0.0092326658913999	0.0242388970589974	0.0088070251547955	1
9	0.00535720528884744	0.00537678445671485	0.00528735175998763	5
10	0.00529165694291426	0.00984554444698702	0.0105965911962002	4
11	0.00468770671253006	0.0195874488964736	0.011567457329749	4
12	0.00727637745029524	0.00729659229536226	0.0180184868736659	7
13	0.0074547507941665	0.00673811886417827	0.00462655900131139	6
14	0.0184341681154781	0.0234677687927459	0.0173876532368337	10
15	0.00810170365164986	0.0148376028036908	0.0162531662573507	2
16	0.00677436216278457	0.0113877097832173	0.00603118293519683	5
17	0.00621932519665672	0.0139893580631147	0.0226946857452835	12
18	0.00657819841829561	0.00844468466820218	0.00645700225284071	6
19	0.0497401011160834	0.0453921119780982	0.0554536630496042	10
20	0.0357596879813368	0.035421793943661	0.0450294018495082	7
21	0.0503355780873201	0.0553311601409202	0.0773698428482406	10
22	0.0185616629254061	0.0416379945882779	0.0378880426910945	8
23	0.00408933428351946	0.009957280390808	0.0179577762449594	3
24	0.028596283560163	0.0241297330711743	0.0178864616121762	4
25	0.0322437849725068	0.0377498444880881	0.0289016534586237	8
26	0.0078390957146826	0.00765126481867857	0.00498186433710691	5
27	0.00331073867816387	0.00472616752613345	0.00341653587789149	0
28	0.0260540450042346	0.00601297301532981	0.01753110832173	7
29	0.0193398376516486	0.0367759133151876	0.0214337136766729	9
30	0.0226454695434849	0.0442746977995247	0.0461547557244306	1
31	0.00374064371662837	0.0114060885055937	0.00745683826118623	3
32	0.00415296954539028	0.00494490636823931	0.00439256154693459	5
33	0.0535607041318787	0.0783459414796988	0.0250390100139722	15
34	0.00498331623464945	0.00283246005789723	0.0332506812258665	1
35	0.0493393900521499	0.00893447671589534	0.00973103739229654	5
36	0.00607718319408087	0.00283246005789723	0.00274632508752181	3
37	0.00551756357907652	0.00738856205790379	0.0127986388286081	4
38	0.0208537154587604	0.00738023611700469	0.0273958243033219	3
39	0.0144673514604649	0.0132120698184763	0.0062203937366448	4
40	0.00749906807629443	0.00479957382654165	0.00364549301983854	3
41	0.00982460350885417	0.0063283777004765	0.0111826562825203	4
42	0.00928254931754044	0.00654687998942227	0.00341653587789149	3
43	0.00691406824700541	0.00721693160284827	0.00473089969672715	5
44	0.00498499534671805	0.00431493003306152	0.00360074267000803	3
45	0.0146619508423474	0.00476976669059011	0.0188317066314235	3
46	0.0329852319649193	0.0363358844504673	0.00412488871809715	10
47	0.00387944444607953	0.00283246005789723	0.00274632508752181	1
48	0.0290059176695826	0.0220881002087092	0.00436172547694689	7
49	0.0179336045505956	0.00451426788416424	0.00414254975194343	3
50	0.0440512972513483	0.0170775333994192	0.0223721398345381	8
51	0.0191210653829115	0.00971542986442144	0.0231817818235792	10
52	0.0129809479020667	0.0395298205518759	0.0376146357380277	7
53	0.00765214874935822	0.00774667664798325	0.00574855647260655	4
54	0.00744422711926732	0.00478233336680223	0.00941349198226325	6
55	0.00742626007815117	0.00559691116513343	0.00390054512725945	4
56	0.0143418648980005	0.0127352498351027	0.0304336521127765	8
57	0.019527843641767	0.0203748259068577	0.0116892158250881	6
58	0.0190983264168128	0.00283246005789723	0.006312884331404	6
59	0.0269599996026153	0.00524824929359056	0.00464133356257428	8
60	0.0136335779916216	0.00567030023688274	0.00313538780825407	3;
